,Id,Label,timeset,index,componentnumber,modularity_class,Authority,Hub,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,dg,closeness,between
0,0,hymn,,0.0,0,18,2.6000000000000002e-05,8e-06,16,17,33,0.226973,0.234773,2781.225858,0.00183379982627159,0.260818523505442,0.00183379982627159
1,1,spick-and-span,,1.0,0,5,7.6e-05,0.00016999999999999999,13,15,28,0.239537,0.248398,3076.703631,0.00154425248528134,0.272543178284455,0.00154425248528134
2,2,stimulating,,2.0,0,8,3.9e-05,0.0,8,0,8,0.0,0.0,0.0,0.000579094681980503,0.268435839423441,0.000579094681980503
3,3,inimical,,3.0,0,11,7e-05,7.5e-05,15,21,36,0.255904,0.265636,1538.705259,0.00202683138693176,0.274717377972945,0.00202683138693176
4,4,buck,,4.0,0,23,0.001678,0.001638,23,61,84,0.30632,0.323884,93245.513143,0.00608049416079529,0.326002578606834,0.00608049416079529
5,5,decency,,5.0,0,2,3.3e-05,3.3e-05,11,13,24,0.259591,0.27026,4575.619552,0.00125470514429109,0.26817105482428,0.00125470514429109
6,6,scratchy,,6.0,0,8,2.3e-05,0.0,6,0,6,0.0,0.0,0.0,0.000482578901650419,0.261154774287787,0.000482578901650419
7,7,cotton-picking,,7.0,0,5,0.002172,0.002322,40,49,89,0.297683,0.314002,3614.903897,0.00472927323617411,0.317838472681841,0.00472927323617411
8,8,blockhead,,8.0,0,10,0.010123,0.010064,80,79,159,0.291644,0.309288,879.741477,0.00791429398706688,0.308794288499837,0.00791429398706688
9,9,abrupt,,9.0,0,5,8.1e-05,8.4e-05,6,10,16,0.264487,0.274945,1558.000003,0.00106167358363092,0.294230511393557,0.00106167358363092
10,10,discordant,,10.0,0,12,1.7e-05,0.0,14,0,14,0.0,0.0,0.0,0.00135122092462117,0.247005898769888,0.00135122092462117
11,11,goad,,11.0,0,2,7e-05,0.0,17,0,17,0.0,0.0,0.0,0.00144773670495125,0.287292038822318,0.00144773670495125
12,12,buffeting,,12.0,0,25,0.000901,0.0,24,0,24,0.0,0.0,0.0,0.00183379982627159,0.280871668643645,0.00183379982627159
13,13,consummation,,13.0,0,9,8.2e-05,9.8e-05,16,20,36,0.27009,0.283065,4430.309916,0.00193031560660167,0.292241286414827,0.00193031560660167
14,14,confabulation,,14.0,0,0,5.5e-05,5e-05,22,41,63,0.268886,0.282582,3919.857979,0.0035710838722131,0.283975308302654,0.0035710838722131
15,15,thrashing,,15.0,0,25,0.000762,0.0015609999999999999,39,116,155,0.305973,0.326262,29857.720139,0.0089759675706978,0.330412950268672,0.0089759675706978
16,16,distempering,,16.0,0,14,2.3e-05,0.0,11,0,11,0.0,0.0,0.0,0.00106167358363092,0.247520765634447,0.00106167358363092
17,17,dupery,,17.0,0,24,6.6e-05,3.4e-05,23,24,47,0.241115,0.250896,367.954224,0.00241289450825209,0.264850455458009,0.00241289450825209
18,18,dreamy,,18.0,0,18,0.001906,0.0,15,0,15,0.0,0.0,0.0,0.00144773670495125,0.290458325350049,0.00144773670495125
19,19,instantly,,19.0,0,8,0.000169,0.00043,16,24,40,0.275809,0.288186,1960.458342,0.00202683138693176,0.305995548724914,0.00202683138693176
20,20,howl,,20.0,0,0,0.000323,0.001261,46,34,80,0.25392,0.265935,9646.952543,0.00511533635749445,0.299467265234233,0.00511533635749445
21,21,about,,21.0,0,9,0.000711,0.001001,55,51,106,0.282171,0.297,87425.578369,0.00569443103947495,0.348197563736116,0.00569443103947495
22,22,characteristic,,22.0,0,24,0.002676,0.0,20,0,20,0.0,0.0,0.0,0.00193031560660167,0.310147754909954,0.00193031560660167
23,23,spread,,23.0,0,9,0.0022440000000000003,0.002176,54,69,123,0.31558,0.334674,137359.742036,0.00733519930508638,0.344643105019034,0.00733519930508638
24,24,infantile,,24.0,0,23,6e-06,0.0,7,0,7,0.0,0.0,0.0,0.000675610462310587,0.235916551712693,0.000675610462310587
