source,target,weight
4595,4603,1
4595,1399,1
4595,1253,1
4595,5506,1
4595,1137,1
4595,3853,1
4595,8882,1
4595,7701,1
4595,4847,1
4595,3013,1
4595,6010,1
4595,8291,1
4595,4571,1
4595,8129,1
4595,3718,1
4595,2207,1
4595,5327,1
4595,6993,1
4595,6688,1
4595,4266,1
4595,4114,1
5248,3342,1
5248,1867,1
5248,302,1
5248,4543,1
5248,9184,1
5248,2111,1
5248,3682,1
5248,6984,1
5248,6715,1
5248,3668,1
5248,8353,1
5248,8239,1
5248,2642,1
5248,7036,1
5248,302,1
5248,366,1
5248,9008,1
5248,3842,1
5248,2071,1
5248,2806,1
5248,2765,1
5248,487,1
5248,7276,1
5248,4701,1
5248,6732,1
5248,357,1
5248,6114,1
5248,6945,1
5248,2642,1
5248,8476,1
5248,2814,1
5248,232,1
5248,302,1
5248,1707,1
5248,2806,1
5248,379,1
5248,1682,1
5248,487,1
5248,4848,1
5248,8787,1
5248,8353,1
5248,2181,1
5248,3688,1
5248,10150,1
5248,2915,1
5248,423,1
5248,6584,1
5248,5134,1
5248,6343,1
5248,2181,1
5248,366,1
5248,5768,1
5248,4005,1
5248,2766,1
5248,1690,1
5248,5382,1
5248,7649,1
5248,6109,1
5248,9457,1
5248,2535,1
5248,8955,1
5248,3546,1
5248,8353,1
5248,8239,1
5248,1777,1
5248,6421,1
5248,4289,1
5248,366,1
5248,9993,1
5248,4440,1
5248,1707,1
5248,487,1
9912,1568,1
9912,8917,1
9912,5444,1
9912,4113,1
9912,9097,1
9912,6168,1
9912,7767,1
9912,7044,1
9912,9654,1
9912,9244,1
9912,3986,1
9912,8590,1
9912,1125,1
9912,1982,1
9912,4549,1
9912,3005,1
9912,5728,1
9912,9851,1
9912,4569,1
9912,5987,1
9912,509,1
9912,551,1
9912,9813,1
9912,4468,1
9912,8269,1
9912,2030,1
9912,1097,1
9912,9084,1
9912,7183,1
9912,657,1
9912,5833,1
9912,5589,1
9912,903,1
9912,5495,1
9912,7542,1
9912,3333,1
9912,9782,1
9912,776,1
9912,2965,1
9912,9805,1
9912,1349,1
9912,4403,1
9912,8877,1
9912,3282,1
9912,5177,1
9912,7674,1
9912,4809,1
9912,9391,1
9912,6870,1
9912,6681,1
9912,2717,1
9912,381,1
9912,2817,1
9912,8359,1
9912,1156,1
9912,8563,1
9912,8801,1
9912,10178,1
9912,10298,1
9912,9876,1
9912,3582,1
9912,4946,1
9912,7690,1
9912,4925,1
9912,4940,1
9912,9623,1
1768,1472,1
1768,1840,1
1768,632,1
1768,10340,1
1768,2507,1
1768,7149,1
1768,1395,1
1768,8075,1
1768,6155,1
1768,9722,1
1768,2292,1
1768,3332,1
1768,2742,1
1768,8156,1
1768,8918,1
1768,9926,1
1768,1828,1
1768,36,1
1768,4889,1
1768,6350,1
1768,1803,1
1768,2872,1
1768,1760,1
1768,9225,1
1768,5830,1
1768,632,1
1768,1031,1
1768,1338,1
1768,4321,1
1768,5793,1
1768,7735,1
1768,431,1
1768,9374,1
1768,3885,1
1768,8394,1
1768,8918,1
1768,811,1
1768,6350,1
1768,9504,1
1768,3445,1
1768,4633,1
1768,3165,1
1768,2686,1
1768,379,1
1768,7634,1
307,3191,1
307,3896,1
307,8414,1
